iter	RMSE
0	17.24948187
1	15.38919144
2	13.60784812
3	12.17441044
4	10.96662248
5	9.967268847
6	9.050794722
7	8.298321525
8	7.731336821
9	7.17216965
10	6.689683252
11	6.316356162
12	5.973928757
13	5.666906455
14	5.377623796
15	5.093872549
16	4.86048609
17	4.684878808
18	4.547191762
19	4.417877272
20	4.296867534
21	4.140600444
22	4.015295499
23	3.926998341
24	3.820951135
25	3.746551638
26	3.683709672
27	3.624197491
28	3.548289709
29	3.464738102
30	3.392272698
31	3.297647839
32	3.253609909
33	3.215263083
34	3.166080486
35	3.120315622
36	3.077270131
37	3.033516287
38	3.003739078
39	2.958172747
40	2.936342157
41	2.897416095
42	2.860316365
43	2.842933206
44	2.800575376
45	2.768762172
46	2.733591368
47	2.711400569
48	2.67622678
49	2.640790445
50	2.615066172
51	2.596325414
52	2.576878162
53	2.549111665
54	2.52879297
55	2.509040115
56	2.479830353
57	2.447411091
58	2.419671236
59	2.404699789
60	2.367862441
61	2.350372148
62	2.318332451
63	2.298891354
64	2.281380863
65	2.257046182
66	2.235464076
67	2.213121222
68	2.200112406
69	2.181276746
70	2.15906712
71	2.138548958
72	2.113332805
73	2.087155471
74	2.076576679
75	2.058503415
76	2.040059714
77	2.019800323
78	2.002569102
79	1.985143568
80	1.966550194
81	1.948849759
82	1.932124127
83	1.914435287
84	1.898247401
85	1.880242624
86	1.85831879
87	1.844881577
88	1.830316002
89	1.818712526
90	1.807226623
91	1.793403316
92	1.778593879
93	1.760554894
94	1.747629093
95	1.735031156
96	1.720024964
97	1.713131891
98	1.704208797
99	1.693170283
100	1.68247162
101	1.674961074
102	1.665204268
103	1.662792458
104	1.648798237
105	1.637903806
106	1.622953876
107	1.613993451
108	1.598095364
109	1.592185604
110	1.584528579
111	1.571064638
112	1.563631672
113	1.550347407
114	1.539152139
115	1.534624762
116	1.527467505
117	1.51913156
118	1.504264861
119	1.493249254
120	1.485653119
121	1.479526319
122	1.477226583
123	1.468536038
124	1.460951873
125	1.45467134
126	1.449777899
127	1.440740526
128	1.439385565
129	1.433107879
130	1.430917658
131	1.416459175
132	1.408147598
133	1.400476773
134	1.396893026
135	1.388071552
136	1.379876779
137	1.372002001
138	1.359180321
139	1.353303946
140	1.343708976
141	1.339726397
142	1.334080175
143	1.326115082
144	1.313699112
145	1.310405482
146	1.300505624
147	1.298683318
148	1.291620513
149	1.289668679
150	1.279945974
151	1.278745127
152	1.268867622
153	1.267909113
154	1.259263997
155	1.258451285
156	1.249946099
157	1.242706693
158	1.235875727
159	1.234384305
160	1.226726641
161	1.217216291
162	1.209881993
163	1.202829441
164	1.194258369
165	1.191642076
166	1.181389223
167	1.174186248
168	1.162819423
169	1.152028072
170	1.146512318
171	1.143041943
172	1.137788268
173	1.130141509
174	1.120960094
175	1.11677819
176	1.108970989
177	1.108353541
178	1.101040974
179	1.094553562
180	1.092611779
181	1.086202047
182	1.07655072
183	1.071574555
184	1.068196323
185	1.062095946
186	1.061545899
187	1.054400778
188	1.049288607
189	1.046625346
190	1.042780112
191	1.037383165
192	1.036833639
193	1.036361941
194	1.033593877
195	1.027510934
196	1.019903037
197	1.014758376
198	1.010386144
199	1.004958327
