iter	Passed	Remaining
0	62	12443
1	67	6669
2	72	4741
3	77	3790
4	82	3234
5	87	2832
6	92	2539
7	97	2329
8	101	2163
9	106	2025
10	111	1910
11	115	1814
12	120	1729
13	124	1658
14	129	1597
15	134	1542
16	140	1508
17	144	1462
18	149	1426
19	154	1390
20	159	1355
21	163	1325
22	168	1298
23	173	1274
24	178	1248
25	182	1223
26	190	1223
27	195	1200
28	200	1179
29	205	1162
30	209	1143
31	214	1124
32	218	1106
33	223	1092
34	229	1079
35	233	1064
36	238	1049
37	242	1034
38	247	1022
39	252	1008
40	256	995
41	261	983
42	265	970
43	270	959
44	275	947
45	279	936
46	284	925
47	289	915
48	294	906
49	298	896
50	303	887
51	308	877
52	312	867
53	317	857
54	321	848
55	326	839
56	330	829
57	335	821
58	340	812
59	344	804
60	349	795
61	353	787
62	358	779
63	362	771
64	367	763
65	374	759
66	378	751
67	383	744
68	388	737
69	392	729
70	397	722
71	402	715
72	407	708
73	411	701
74	415	693
75	420	686
76	426	681
77	431	674
78	436	667
79	440	661
80	445	654
81	450	647
82	454	640
83	459	634
84	464	628
85	469	622
86	474	615
87	478	609
88	483	602
89	487	596
90	492	590
91	497	583
92	502	577
93	506	571
94	511	565
95	516	559
96	520	553
97	525	547
98	530	541
99	534	534
100	539	529
101	544	523
102	548	516
103	553	510
104	558	505
105	563	499
106	568	494
107	573	488
108	578	482
109	583	477
110	587	470
111	592	465
112	596	459
113	602	454
114	606	448
115	611	442
116	615	436
117	620	431
118	624	425
119	630	420
120	634	414
121	639	408
122	644	403
123	648	397
124	653	391
125	657	386
126	662	380
127	666	375
128	671	369
129	675	363
130	680	358
131	686	353
132	690	348
133	695	342
134	700	337
135	704	331
136	709	326
137	720	323
138	724	318
139	729	312
140	734	307
141	738	301
142	742	296
143	747	290
144	756	286
145	764	282
146	769	277
147	773	271
148	778	266
149	782	260
150	787	255
151	791	249
152	795	244
153	800	238
154	805	233
155	810	228
156	815	223
157	819	217
158	824	212
159	831	207
160	836	202
161	840	197
162	845	191
163	850	186
164	854	181
165	858	175
166	863	170
167	872	166
168	877	160
169	881	155
170	885	150
171	891	145
172	897	140
173	903	134
174	907	129
175	912	124
176	917	119
177	921	113
178	925	108
179	930	103
180	935	98
181	942	93
182	948	88
183	954	82
184	960	77
185	964	72
186	969	67
187	974	62
188	978	56
189	984	51
190	990	46
191	995	41
192	999	36
193	1004	31
194	1009	25
195	1013	20
196	1018	15
197	1023	10
198	1027	5
199	1032	0
